Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-2J-AABO-01,0.090769092,0,0.011863789,0.018421963,0,0.111501044,0,0.01550601,0.041237374,0.008641884,0,0,0,0.156730189,0.024718716,0.182940164,0,0,0.064132973,0,0,0,0,0.694045778,0.761810051,0.726463199
TCGA-2J-AABP-01,0.018327525,0.00370223,0.025738329,0.10622397,0,0.06713749,0.029403372,0.085090161,0.050307661,0,0.074926892,0,0,0.348877602,0.106361042,0.473289593,0,0,0.00925663,0,0,0.012914435,0,0.833753426,0.641422508,1.411556932
TCGA-2J-AABR-01,0.068309405,0,0.036977267,0.138873339,0,0.204723893,0.015174966,0.054115953,0.051222556,0,0.002883705,0.011387828,0.031665025,0.072416436,0.058321434,0.336983432,0.0215004,0.03488079,0.076193239,0,0,0.008478145,0,0.701988827,0.770084645,1.224107815
TCGA-2J-AABT-01,0.035579107,0,0.033116498,0.03593736,0,0.139321721,0.013612478,0,0.047758669,0,0.028207997,0,0.069885992,0.148367755,0.015627347,0.369104455,0,0.034451405,0.02885783,0,0,0,0,0.7633865,0.71449679,0.999828613
TCGA-2J-AABU-01,0.062304983,0,0.030648494,0.040106752,0,0.120812209,0,0.017680083,0.059336201,0,0.039952855,0,0.001604623,0.139940079,0.010459014,0.17065598,0,0.010184329,0.051383132,0,0,0,0,0.625130377,0.805920253,0.755068736
TCGA-2J-AABV-01,0.00136269,0.015966209,0.037495654,0.109736425,0,0.06573288,0,0.028903947,0.04122903,0,0,0.030090343,0.042793334,0,0.008015752,0.188409672,0.015891742,0.013378043,0.086022251,0,0,0.004206817,0,0.51332768,0.865307017,0.689234788
TCGA-2L-AAQA-01,0.015871018,0,0.041050008,0,0,0.139424123,0.001065196,0.00430087,0.020220486,0,0.03120716,0,0,0.301294987,0.001647243,0.117100067,0.001845398,0.002615382,0,0.030727503,0,0,0,0.636791682,0.776025023,0.708369441
TCGA-2L-AAQE-01,0.06299675,0.076982938,0.012353483,0.014581226,0,0.126614503,0.005470913,0.059517228,0.06883609,0,0.018899022,0,0,0.163591192,0,0.108390973,0,0.056095862,0.030840712,0,0,0,0,0.677136639,0.778100304,0.805170892
TCGA-2L-AAQI-01,0.018953089,0.015077916,0.019179326,0,0,0.149158254,0,0.008231142,0.047015979,0.01086765,0.014049414,0,0,0.18536716,0.020251885,0.220077881,0,0,0.004023421,0.010545378,0,0.011592713,0,0.61598744,0.797580147,0.734391208
TCGA-2L-AAQJ-01,0.173992894,0,0.000555721,0,0,0.145341034,0,0.080752477,0.047471267,0,0,0.025922784,0,0.25407284,0.041943374,0.164951328,0,0,0.002281052,0.002791448,0,0,0,0.681447765,0.76050777,0.940076219
TCGA-2L-AAQL-01,0.014681137,0.011760698,0.034255784,0.048682328,0,0.168391746,0,0.001367008,0.014030209,0,0,0.041336792,0.013226508,0.15380181,0.036544491,0.277620094,0.012745787,0.001505935,0.068171093,0,0,0,0,0.619763929,0.803075391,0.898121417
TCGA-2L-AAQM-01,0.028692524,0,0.083126095,0.02722103,0,0.035044549,0,0.017958912,0.049444019,0,0.103388472,0,0.040679687,0,0.011462189,0.107321229,0,0,0.036280124,0,0,0.001688811,0,0.287462718,0.964229627,0.542307641
TCGA-3A-A9I5-01,0.120493592,0,0.07732332,0.022763936,0,0.083480296,0,0.051247706,0.047729117,0,0.014257249,0,0,0.192189931,0.005889879,0.147610081,0,0.005008476,0.030668524,0,0,0.008161143,0,0.53304369,0.852265011,0.806823251
TCGA-3A-A9I7-01,0.127702766,0.053237163,0.017855367,0.083153142,0,0.132651816,0,0.071081338,0.075293976,0,0.01348656,0.004631997,0,0.124107596,0.039103077,0.209717757,0.000631589,0.007990424,0.071987139,0,0,0,0,0.674580198,0.783266888,1.032631706
TCGA-3A-A9I9-01,0,0.007704134,0.056671708,0.065481207,0,0.126756522,0,0.017140512,0.027465575,0,0.026087964,0.003110031,0.028606668,0.146612822,0.016931572,0.234986251,0.00745933,0,0.039557194,0,0,0.014193034,0,0.678738961,0.77218759,0.818764524
TCGA-3A-A9IB-01,0.0044096,0.001302676,0.016812043,0.003008296,0,0.119464506,0,0.017352623,0.043789721,0,0,0.0260882,0,0.237957124,0.027473932,0.268617989,0,0.004448838,0.077048725,0,0,0.005611446,0,0.747374673,0.707246339,0.853385717
TCGA-3A-A9IC-01,0.004782839,0,0.06119259,0.032635461,0,0.108045249,0,0.036089234,0.030080433,0,0,0.039920407,0.001190533,0.127106328,0.003298173,0.247448368,0.000223495,0.010009621,0.097100281,0,0.003966705,0.012876422,0,0.542220658,0.847599718,0.815966139
TCGA-3A-A9IH-01,0.023672356,0.010983338,0.049370369,0,0,0.119555969,0,0.043241985,0.01975548,0,0.000369827,0.020049293,0.00966059,0.131562013,0.028073783,0.182586655,0.019288508,0.028369196,0.041012001,0,0,0.004480978,0,0.471134894,0.883001911,0.732032341
TCGA-3A-A9IJ-01,0.037425254,0,0.089876228,0.017287749,0,0,0,0.027708741,0,0,0,0.01099997,0.016949438,0,0.005068118,0.183423228,0,0,0,0.043277441,0,0,0,0.21319075,1.002089421,0.432016167
TCGA-3A-A9IL-01,0.043816549,0,0.066953369,0.031260069,0,0.101273009,0,0.034331426,0.011709147,0,0.011233278,0.011936766,0.018280567,0,0.003550339,0.154571232,0.005954354,0.017572025,0.085157419,0,0,0,0,0.312564072,0.951579555,0.597599548
TCGA-3A-A9IN-01,0.065129193,0,0.102610781,0,0,0.083901366,0,0.059872825,0.01407266,0,0,0.056691931,0.014968549,0.025614243,0.022372495,0.17146975,0,0,0,0.083494497,0,0,0,0.359994696,0.933797813,0.700198291
TCGA-3A-A9IO-01,0.037200593,0,0.055143038,0,0,0.106828231,0,0.023890891,0.016766424,0,0.039602473,0,0,0.06191702,0,0.121704128,0.007264392,0.031001888,0.040868677,0,0,0.004293803,0.13,0.127222045,1.024143279,0.546481557
TCGA-3A-A9IR-01,0.033820186,0,0.125977209,0.035142981,0,0.114517445,0,0.018182982,0.044905809,0,0,0.022622334,0.016156999,0,0.022004851,0.14007448,0,0,0.052177919,0,0,0.002223171,0.11,0.136401817,1.018548579,0.627806368
TCGA-3A-A9IS-01,0.034572033,0,0.119758771,0.022688198,0,0,0,0.020625067,0.000817253,0,0.003003024,0.017691243,0.022957233,0,0,0.13347333,0,0.016770079,0,0.015836206,0.000327584,0,0.15,0.119197457,1.032425318,0.408520022
TCGA-3A-A9IU-01,0.039458343,0.023459864,0.046569868,0.016705033,0,0.060199106,0,0.03163957,0.014421551,0,0.010626344,0.008401153,0,0.298316232,0.020120381,0.107534836,0,0,0.04853647,0,0,0,0,0.70344214,0.73478773,0.725988752
TCGA-3A-A9IV-01,0.047693076,0,0.055071482,0,0,0.042856137,0,0.001126252,0.011345267,0,0.020167852,0.010056054,0,0.119013919,0.008571171,0.170326908,0,0,0.016862158,0,0,0.003540968,0,0.34157937,0.949220265,0.506631244
TCGA-3A-A9IX-01,0.169429876,0.014716144,0.010468504,0.102101944,0,0.200837232,0,0.056164588,0.081908849,0,0.043007335,0,0.067476973,0.049465554,0.017689938,0.249408238,0.029681389,0.069682822,0.077603599,0,0,0.002869147,0,0.820214602,0.711831087,1.242512133
TCGA-3A-A9IZ-01,0,0.004250734,0.114645546,0.000859285,0,0.131205561,0,0.027346185,0.045552666,0,0.035264855,0.008705267,0,0.151704521,0.028786638,0.101034647,0,0.011887578,0.001542033,0.007563223,0,0.044511257,0,0.272445758,0.972983434,0.714859997
TCGA-3A-A9J0-01,0.055110845,0,0.070867335,0,0,0.059848394,0,0.045738064,0.031068739,0,0.010315674,0.019944704,0,0.273607492,0.011028154,0.16819466,0,0,0.005371082,0.007480236,0,0.003712133,0,0.75194805,0.70208549,0.762287511
TCGA-3E-AAAY-01,0.056932426,0,0.089474834,0.065920261,0,0.200618906,0,0.036814488,0.022906323,0,0.015190964,5.10E-05,0.005451196,0.144084526,0.033318691,0.35974528,0.028401068,0.010809422,0.035554969,0.003684297,0,0.030255394,0,0.673824111,0.779433366,1.139214001
